,date,open,high,low,close,adj_close,volume,stock
210,1962-08-24,5.76556304522923,1.6328125,1.625,1.62890625,0.014852523803710938,979200,XOM
211,1962-02-09,5.76556304522923,8.550634384155273,8.429777145385742,8.550634384155273,0.7492927312850952,38900,IP
212,1962-02-08,5.76556304522923,11.125,10.96875,11.0,1.9142693281173706,35200,GT
213,1962-02-07,0.895061731338501,0.911522626876831,0.8888888955116272,0.895061731338501,0.15994468331336975,844200,BA
214,1962-09-25,5.001405715942383,5.200524806976318,5.001405715942383,5.165386199951172,1.2112882137298584,74700,ARNC
215,1962-09-11,5.76556304522923,1.05859375,1.04296875,1.05078125,0.010073278099298477,198400,PG
216,1962-09-17,0.6773337125778198,0.6860977411270142,0.6773337125778198,0.6823417544364929,0.001646819175221026,818600,GE
217,1962-04-18,5.76556304522923,0.1495225727558136,0.1467013955116272,0.1495225727558136,0.000184715332579799,2304000,MO
218,1962-04-24,0.7386819124221802,0.7399339079856873,0.7336738705635071,0.7336738705635071,0.0017570568015798926,2226400,GE
219,1962-09-19,5.76556304522923,30.5,29.9375,30.4375,0.5181665420532227,5800,DTE
220,1962-10-11,5.338665008544922,5.338665008544922,5.238540172576904,5.306624889373779,1.2677196264266968,33900,AA
221,1962-10-26,5.76556304522923,3.2738094329833984,3.2440476417541504,3.2738094329833984,0.05302610993385315,44800,CVX
222,1962-03-20,5.76556304522923,10.96875,10.8125,10.8125,1.8913118839263916,16400,GT
223,1962-05-07,5.76556304522923,3.59375,3.563988208770752,3.5714285373687744,0.05733131244778633,128000,CVX
224,1962-04-12,5.76556304522923,3.4895832538604736,3.4598214626312256,3.467261791229248,0.055198222398757935,70400,CVX
225,1962-11-05,5.76556304522923,9.171875,9.109375,9.171875,0.2143450826406479,19200,ED
226,1962-10-16,5.32264518737793,5.406750202178955,5.314634799957275,5.314634799957275,1.2696335315704346,25900,AA
227,1962-04-05,5.76556304522923,0.1475694477558136,0.1434461772441864,0.1467013955116272,0.00018123029440175742,4550400,MO
228,1962-04-13,5.76556304522923,3.4747023582458496,3.4375,3.467261791229248,0.055198222398757935,112000,CVX
229,1962-04-04,5.76556304522923,6.833333492279053,6.708333492279053,6.708333492279053,0.8723285794258118,40800,FL
230,1962-09-21,0.6502057909965515,0.6563786268234253,0.6378600597381592,0.6419752836227417,0.11746639013290405,959600,BA
231,1962-01-25,5.76556304522923,0.1770833283662796,0.1727430522441864,0.1768663227558136,0.00021648150868713856,633600,MO
232,1962-01-31,5.76556304522923,3.266369104385376,3.1919643878936768,3.221726179122925,0.05128934234380722,225600,CVX
233,1962-01-31,7.073333263397217,7.226666450500488,7.073333263397217,7.226666450500488,0.5857327580451965,760000,IBM
234,1962-10-11,4.788333415985107,4.8466668128967285,4.736666679382324,4.746666431427002,0.3849135637283325,1360000,IBM
235,1962-12-31,5.76556304522923,5.333333492279053,5.25,5.291666507720947,0.7082945108413696,57600,FL
236,1962-12-18,0.0851498618721962,0.08559335023164749,0.08381939679384232,0.08381939679384232,0.00464891642332077,1381000,HPQ
237,1962-02-28,5.76556304522923,3.519345283508301,20.0,3.482142925262451,0.05543511360883713,176000,CVX
238,1962-02-28,0.2428385466337204,0.2428385466337204,0.23828125,0.2389322966337204,0.0038496132474392653,652800,KO
239,1962-02-01,5.76556304522923,10.96875,10.75,10.84375,1.8870786428451538,26000,GT
240,1962-02-07,0.244140625,0.2454427033662796,0.244140625,0.2454427033662796,0.003954507410526276,192000,KO
241,1962-09-24,5.76556304522923,3.4895832538604736,3.3482143878936768,3.363095283508301,0.05447223037481308,171200,CVX
242,1962-09-28,0.203125,0.205078125,0.2024739533662796,0.2044270783662796,0.0033630095422267914,691200,KO
243,1962-10-04,5.76556304522923,6.90625,6.75,6.875,1.2196229696273804,45600,GT
244,1962-01-05,5.76556304522923,3.266369104385376,3.1770832538604736,3.1770832538604736,0.05011463165283203,201600,CVX
245,1962-09-19,5.76556304522923,9.59375,9.5625,9.5625,0.22114606201648712,11200,ED
246,1962-01-29,5.76556304522923,9.625,9.53125,9.578125,0.2150709331035614,39200,ED
247,1962-05-25,5.306624889373779,5.314634799957275,5.222519874572754,5.238540172576904,1.2452385425567627,47900,AA
248,1962-08-10,5.76556304522923,0.1232638880610466,0.1202256977558136,0.1223958358168602,0.00015316306962631643,979200,MO
249,1962-04-02,0.8251028656959534,0.8333333134651184,0.8168724179267883,0.8271604776382446,0.1478109359741211,388800,BA
250,1962-09-13,0.6773337125778198,0.6860977411270142,0.6698217391967773,0.6710737347602844,0.0016196242067962885,1747200,GE
